fine_tuned,input_character_raw,input_location_raw,raw_text,id,location_output
False,,,"(Scene: The Simpson living room. Homer is sitting on the couch, lazily flipping through channels on the TV. Marge is in the kitchen preparing dinner, and Bart and Lisa are playing a board game on the floor.)
Bart Simpson: (excitedly) Lisa, your turn!
Lisa Simpson: (thinking) Hmm, I think I'll buy Boardwalk.
Bart Simpson: (groans) Aw, man! That's gonna bankrupt me!
Lisa Simpson: (smirking) That's the name of the game, Bart.
(A loud knocking is heard at the front door. Homer gets up from the couch and opens the door to reveal Ned Flanders standing there, looking anxious.)
Ned Flanders: Hi-diddly-ho, neighbor-eenos! I hate to bother you, but I seem to have locked myself out of my house again. Could I possibly borrow your phone to call a locksmith?
Homer Simpson: (sarcastically) Oh, sure, Ned. Just make yourself at home. Again.
(Homer hands Ned the phone, and Ned dials a number. Meanwhile, Marge walks in from the kitchen carrying a plate of cookies.)
Marge Simpson: Ned, would you like some cookies while you wait?
Ned Flanders: Oh, thank you, Marge. You really are a saint.
(Homer rolls his eyes and mutters to himself as he plops back down on the couch. Suddenly, the doorbell rings again, and this time it's Chief Wiggum and his son Ralph standing outside.)
Chief Wiggum: (panting) Simpson, we need your help! There's a cat stuck in a tree, and we can't get it down.
Ralph Wiggum: (excitedly) Meow-meow, Mommy!
Homer Simpson: (confused) Why are you telling me this? I'm not a firefighter.
Chief Wiggum: Well, we heard you have a ladder and, uh, we figured...
(Homer reluctantly gets up and grabs a ladder from the garage. Cut to a montage of Homer, Chief Wiggum, and Ralph hilariously trying to rescue the cat from the tree, with each attempt ending in a comical failure.)
Marge Simpson: (sighing) Oh, Homer. You never cease to amaze me.
(The scene fades out as the cat finally gets rescued, and the Simpson family and their neighbors share a laugh together in the backyard.)",ft0_char0_loc0_1,simpson living room
False,,,"(Scene: The Simpson family living room. Homer is lounging on the couch watching TV, Marge is knitting, Lisa is practicing her saxophone, and Bart Simpson is up to no good.)
Bart Simpson: (mischievously) Hey, Dad! Want to see a magic trick?
Homer Simpson: (excitedly) Ooh, a magic trick! I love magic. What do you have in store for me, boy?
Bart Simpson: (smirking) Just watch this! *pulls out a fake spider from his pocket*
Homer Simpson: (startled) Ahh! A spider! Get it away from me!
Marge Simpson: (calmly) Bart, don't scare your father like that.
Lisa Simpson: (rolling her eyes) It's just a silly prank, Dad. Don't fall for it.
Homer Simpson: (relieved) Oh, Bart, you got me good! That was a good one.
(Suddenly, Maggie enters the room and starts crying uncontrollably.)
Marge Simpson: (concerned) Oh no, what's wrong, Maggie?
Bart Simpson: (realizing) Uh oh, I think I know what happened. *looks at the fake spider*
Homer Simpson: (confused) What's going on, Bart?
Bart Simpson: (guiltily) I think Maggie saw the spider and got scared. I didn't mean for this to happen.
Marge Simpson: (comforting Maggie) It's okay, sweetie. It was just a silly prank.
Lisa Simpson: (scolding Bart) See what happens when you play tricks on people, Bart?
Homer Simpson: (picking up Maggie) I'll take care of you, Maggie. No more scary spiders, I promise.
(Bart hangs his head in shame as the family comforts Maggie. The camera pans out as the Simpson family comes together in a touching moment, reminding us that even the best-intentioned pranks can have unintended consequences.)",ft0_char0_loc0_2,simpson living room
True,,,"(The Simpson show: Ext. The Simpson house - day)
Dr. Hibbert: Children, I'm afraid we have a crisis.
The Simpsons: (FRIGHTENED NOISE, THEN:) Crisis?! What crisis?!
Dr. Hibbert: I'm sorry, but Bart's X-rays reveal a problem that requires surgery.
The Simpsons: (HORRIFIED NOISE, THEN:) Surgery?! What surgery?!
Dr. Hibbert: You will have to have... your tonsils removed.
The Simpsons: (GROAN)
Dr. Hibbert: (CHUCKLES) No need to worry. It's a very simple and painless operation, assuming...
Homer Simpson: (IMPATIENT) Yes? Assuming what?!
Dr. Hibbert: Homer, I'm afraid you'll have to be quiet. I need full concentration on Bart. (SHEEPISH) Always easier to talk to the father.
Dr. Hibbert: Now, Bart, I want you to relax and concentrate all your energy on your throat. (TO HOMER) The boy's a blimp, but he's got the spirit.
Dr. Hibbert: (SINGING) THE HURRAH MONSTER STOMP.
Dr. Hibbert: (SINGING) AND THE HALLELUJAH CHORUS.
Dr. Hibbert: (SINGING) HE'S BOTH THE JUDGE AND JURY.
Dr. Hibbert: (SINGING) FOR THE BATTLING BUREAUCRATS / WHO REFUSE TO BELIEVE WE'LL EVER BE BACK...
Dr. Hibbert: (SINGING) WHAT HAPPENED TO THE STORK? / WHERE'S MY GOLDEN EGG? / ANSWER ME THE RIDDLE, OR I'LL BREAK YOUR LEG!
Dr. Hibbert: (SINGING) NOW, YOU'RE IN MY WORLD / YOU'RE IN MY WORLD...",ft1_char0_loc0_1,simpson house
True,,,"(The Simpson show: Int. Simpson House - Day)
Bart Simpson: (READING) To help with that, I've compiled a list of other sayings people really need to stop overusing. (SHRUGS) I've read worse.
(The Simpson show: Int. Simpson House - Bart's rooM - day)
Bart Simpson: (VERY WORRIED, FAR AWAY) Oh my God, the only thing I've ever been good at is going out of style! (SOBS)
(The Simpson show: Int. Simpson house - kitchen - night)
Lisa Simpson: (GRIM) Bart, this is called The Unbearable Lightness of Being a Fad. Now, every star has a supernova.",ft1_char0_loc0_2,simpson house
True,,,"(The Simpson show: int. the simpsons house - bart's room - morning)
Homer Simpson: Bart, what's gotten into you?! Ever since you started working for that store, you've looked happier and more fulfilled.
Bart Simpson: But Dad, I can't be a boy and a clerk at the same time.
Homer Simpson: Go to bed, Lisa.
(The Simpson show: int. the simpsons house - tv room - day)
Lisa Simpson: Look, Bart! I just discovered this great new website that lets you watch TV on your computer.
Bart Simpson: (TOUCHES PICTURE OF TV) It's like you're swimming in a pool of stupid.
Lisa Simpson: Now, I just have to find the station that carries ““It's Always Sunny in Philadelphia.””
(The Simpson show: ext. springfield mall - day - establishing)
Bart Simpson: Welcome to the Springfield Mall, where the fun never starts.
C. Montgomery Burns: I've come for my atomic pile.
Bart Simpson: Energy's a commodity, old man. It only goes to the highest bidder.
C. Montgomery Burns: I'll give you anything -- I'll give you the mall!
Bart Simpson: Too late.
C. Montgomery Burns: I'll give you the oil under the parking lot!
Bart Simpson: Too late!
C. Montgomery Burns: I'll give you the world's biggest stadium!
Bart Simpson: (TO FRINK) Do we own that?
Professor Jonathan Frink: (CHECKS PAPER) No, it's just a drawing of a giant toilet.",ft1_char0_loc0_3,bart bedroom
True,,Simpson home,"(Simpson home: ext. simpson house)
Marge Simpson: (SUSPICIOUS) Hmm, what's going on here?
(Simpson home: Int. Simpson house)
Lisa Simpson: (SCREAMS) Oh my God! The rats are everywhere!
Marge Simpson: Well, I'm sure it'a just a coincidence...
Homer Simpson: (SINGING) OUT OF MY WAY, OUT OF MY WAY! I HAVE A BUS TO DRIVE!
Homer Simpson: (ANOTHER SINGING) TOO FAST, TOO FAST!
Homer Simpson: (ANOTHER SINGING) IT'S THAT DARN WELCHER AGAIN!
Homer Simpson: (ANOTHER SINGING) ANIMALS ARE CRACKING UP! SOMETHING'S GOT TO GIVE!
Marge Simpson: (SMALL GASP) Ooh, a live-action Tom and Jerry.",ft1_char0_loc1_0,simpson home
True,,Springfield Nuclear Power Plant,"(Springfield Nuclear Power Plant: ext. springfield nuclear power plant - day)
(Springfield Nuclear Power Plant: ext. springfield nuclear power plant - evening - establishing)
(Springfield Nuclear Power Plant: int. nuclear power plant - LATER)
C. Montgomery Burns: You're the expert, Smithers. What do you think?
Waylon Smithers: The plant's going to be okay, sir. But I'm afraid we've got a bigger problem.
C. Montgomery Burns: Yes, I see what you mean. I've been saying that all along. Once again, my inspirational leadership has pulled us out of a terrifying tailspin. What's our other problem?
Waylon Smithers: Um, the plant is completely flooded.
C. Montgomery Burns: Dear God! Our precious nuclear stockpile!
Waylon Smithers: I'm sure it's all right, sir. The control rods are back in place.
C. Montgomery Burns: That's a comfort. Still, the core is probably severely damaged.
Waylon Smithers: No, I'm sure it's fine. It is fine, isn't it?
C. Montgomery Burns: Er, well, it's not 110% fine. There are a lot of loose wires and leaking pipes.
Waylon Smithers: Is that so?
C. Montgomery Burns: Oh, yes, and the dials and switches and knobs and tubes, things.
Waylon Smithers: Things, yes.
C. Montgomery Burns: Well, some of them are... (SCOFFS) Who can say?
Waylon Smithers: Good lord.
C. Montgomery Burns: Now, now. If you panic, you'll only wind up in this emergency room that's not up to a hundred and ten percent.
Waylon Smithers: Sir, I'm afraid they're still down there. I just got back from the hospital and they're blaming all their problems on the plant. They know about the waste and what happened to the cat.
C. Montgomery Burns: What's that, I'm not familiar with that story.
Waylon Smithers: Well, I'll give you a hint. It's not fixed.
C. Montgomery Burns: Smithers, do you think it's time to... (THINKS) See, this is why I would never think of the cat. It's not that my head's too big -- it's just that my brain is too active. And the cat -- the cat was -- who was he? I seem to remember he had a white collar. Like that dog who played with the orca. In fact, I think it was an orca who ate the cat...",ft1_char0_loc1_1,springfield nuclear power plant
True,,Springfield Elementary School,"(Springfield Elementary School: ext. springfield elementary - establishing - day)
(Springfield Elementary School: int. springfield elementary - a little later)
Homer Simpson: (SINGS HAPPILY) LITTLE FISH, BIG FISH, SWIMMIN IN THE WATER... PRINCE EDWARD... (SINGS OFF-KEY)
(Springfield Elementary School: int. springfield elementary - the simpson kids' classroom)
Bart Simpson: (INNOCENT) Mr. Glass, which way did he go?
Glass Eyed Pete: (POINTS OTHER WAY) That way. Now go!
(Springfield Elementary School: int. springfield elementary - later)
(Springfield Elementary School: int. springfield elementary - later)
Homer Simpson: (SINGS TO SELF) LITTLE FISH, BIG FISH, SWIMMIN IN THE WATER... UH, LITTLE FISH, BIG FISH, SWIMMIN IN THE WATER... SINGING... DANCING... BUTTING THE BEACH BALL... BUTTING THE BEACH BALL... AW, THE HELL WITH THIS!
Homer Simpson: (COCKY) Eh, they're not gonna fire me. We're just gonna be bought by a group that really understands the value of a well-trained staff.
(Springfield Elementary School: ext. school - establishing - next day)
(Springfield Elementary School: ext. springfield elementary - the next day)
Homer Simpson: (SINGS, TO THE TUNE OF OLD MAN RIVER) OH, I WASHED SEVEN HUNDRED SHEETS// AND WHAT DID I GET? / ANOTHER DAY YOUNGER / AND DUMBER IN DEBT.
Homer Simpson: (TO SONG) TWO. (TO KIDS, SAD) How's that?
Lisa Simpson: Puzzling. Mrs. Krabappel usually hangs up on you after one.
Bart Simpson: (SOTTO) She must be really mad.
(Springfield Elementary School: int. springfield elementary - the next day)",ft1_char0_loc1_2,springfield elementary school
False,,Springfield Elementary School,"(Scene: Springfield Elementary School, int. Classroom)
(The bell rings as students start filing into the classroom. Mrs. Krabappel is writing on the chalkboard while Bart and Milhouse are passing notes.)
Edna Krabappel-Flanders: (reading note) Meet me at the treehouse after school? - B. Bart, care to share with the class what's so important that it can't wait?
Bart Simpson: Um, it's uh, a uh, study group, Mrs. K. Yeah, that's it. A study group.
Edna Krabappel-Flanders: (skeptical) A study group, huh? Well, make sure you actually study this time, Bart. Now, class, today we are going to learn about the history of Springfield.
(The classroom door bursts open and Principal Skinner enters, looking flustered.)
Seymour Skinner: Attention, students! I have an announcement to make. Due to budget cuts, we will no longer be able to afford lunchroom food. Instead, we will be serving nutritious and delicious Krusty Burgers!
(Lisa raises her hand.)
Lisa Simpson: Um, Principal Skinner? Are Krusty Burgers really the best choice for our health and education?
Seymour Skinner: (nervously) Oh, uh, well, you see, Lisa, Krusty Burgers are a well-balanced meal for growing minds and bodies. Now, back to your studies, everyone!
(The classroom erupts into chatter as the students express their excitement over the new menu.)
Bart Simpson: (whispering to Milhouse) This is gonna be the best day ever! Krusty Burgers for lunch!
Milhouse Van Houten: I don't know, Bart. I heard they use processed cheese food slices.
(The bell rings, signaling the end of the school day.)
Edna Krabappel-Flanders: Alright, class, don't forget to study for your history quiz tomorrow. And Bart, I'll be watching to make sure you actually do.
(Bart and Milhouse rush out of the classroom, eager to head to the treehouse for their secret meeting.)
Seymour Skinner: (to himself) Oh, dear. I hope this Krusty Burger plan doesn't backfire on me.
(Scene fades out as the students leave the classroom, excited for the new lunch menu.)",ft0_char0_loc1_0,classroom
False,,Springfield Nuclear Power Plant,"[INT. SPRINGFIELD NUCLEAR POWER PLANT - DAY]
[We see Homer SIMPSON sitting at his workstation in the control room, looking bored. MR. BURNS walks in, wearing his signature suit and top hat.]
C. Montgomery Burns: Ah, Simpson! How are things running today?
Homer Simpson: (excitedly) Oh, everything's just dandy, Mr. Burns! No meltdowns, no explosions, nothing to worry about!
C. Montgomery Burns: (suspiciously) Hmm, that's quite unusual for this plant. Are you sure everything is in order?
Homer Simpson: (nervously) Of course, Mr. Burns! I've been monitoring the reactor all day, and it's running like a well-oiled machine.
C. Montgomery Burns: (smirking) Well, I suppose I'll just have to take your word for it. But remember, one slip-up, and you'll be out on the street faster than you can say nuclear meltdown.
[Homer gulps nervously as MR. BURNS exits the control room. Suddenly, the lights flicker, and an alarm starts blaring.]
Homer Simpson: (panicking) Oh no, not again!
[We see LISA SIMPSON and BART SIMPSON walking by outside the control room.]
Lisa Simpson: (sarcastically) Looks like Dad's up to his usual antics.
Bart Simpson: (grinning) This is gonna be epic!
[Homer frantically tries to fix the problem, pressing buttons and pulling levers. Smoke starts billowing out of the control panel.]
Homer Simpson: (screaming) Marge, I'm sorry!
[MARGE SIMPSON rushes in, wearing a hazmat suit.]
Marge Simpson: Homer, what have you done this time?
Homer Simpson: (sheepishly) I may have, uh, accidentally caused a minor nuclear incident.
Marge Simpson: (rolling her eyes) Well, let me handle this.
[MARGE deftly fixes the problem, and the alarms stop blaring. The smoke clears, and everything returns to normal.]
Marge Simpson: (smiling) There, crisis averted. Again.
Homer Simpson: (hugging MARGE) Oh, Marge, you're my hero!
[BART and LISA high-five each other outside the control room.]
Bart Simpson: (jokingly) And they say our family isn't nuclear-powered.
Lisa Simpson: (laughing) Classic Simpsons chaos.
[The scene fades out as the Simpsons embrace each other in the control room, happy and relieved.]",ft0_char0_loc1_1,springfield nuclear power plant
False,,Simpson home,"(Scene: Simpson living room. The family is gathered around the TV.)
Marge Simpson: (holding a bowl of popcorn) Alright, everyone, it's time for our favorite show!
Homer Simpson: (excitedly) Woohoo! Nothing beats watching TV with the family.
Bart Simpson: (smirking) Especially when it's time for Krusty's Komedy Klassics.
Lisa Simpson: (rolling her eyes) Ugh, Bart, do we really have to watch that again? It's so... lowbrow.
Bart Simpson: (grinning) Oh, come on, Lis. You know you love it. Plus, I heard Krusty's gonna do a live prank call tonight!
Lisa Simpson: (intrigued) Really? Well, I guess I can suffer through one more episode.
(The TV show starts, and Krusty appears on the screen.)
Krusty the Clown: (excitedly) Hey hey! It's your old pal Krusty the Clown! And tonight, we're gonna do something special. We're gonna make a live prank call to... Moe's Tavern!
Homer Simpson: (chuckling) Oh, this is gonna be good!
(Krusty dials the phone, and Moe answers on the other end.)
Moe Szyslak: (gruffly) Moe's Tavern, Moe speaking.
Krusty the Clown: (in a disguised voice) Uh, yeah, I'm looking for a... Amanda Hugankiss. Hey guys, I'm looking for Amanda Hugankiss!
(The family bursts into laughter, except for Lisa who looks unamused.)
Moe Szyslak: (realizing it's a prank) Oh, I get it. You want me to ask if anyone here is Amanda Hugankiss? Hold on, let me check. (sarcastically) Hey, has anyone seen Amanda Hugankiss?
(The patrons in Moe's Tavern start laughing, and Moe hangs up in frustration.)
Bart Simpson: (laughing) Classic! Amanda Hugankiss, I love it!
Lisa Simpson: (shaking her head) That was so juvenile, Bart.
Marge Simpson: (chuckling) Oh, lighten up, Lisa. It's just a harmless prank.
Homer Simpson: (raising his beer) To Bart, the prank call king! May his jokes always be as cheesy as that one.
Bart Simpson: (grinning) Thanks, Dad. I aim to please.
(The family continues watching Krusty's show, enjoying the rest of the antics and jokes.)",ft0_char0_loc1_2,simpson living room
