id,fine_tuned,location_id,raw_text,speaking_line,raw_character,spoken_words
ft1_char1_loc0_2,True,2987.0,C. Montgomery Burns: (TO HOMER) Perhaps you could take a refreshment break.,True,C. Montgomery Burns, (TO HOMER) Perhaps you could take a refreshment break.
ft1_char1_loc0_2,True,2987.0,Homer Simpson: Oh no. I've got five seconds left in my break... that's it.,True,Homer Simpson, Oh no. I've got five seconds left in my break... that's it.
ft1_char1_loc0_2,True,2987.0,(ANOTHER PART OF THE ESTATE - CONTINUOUS),False,,
ft1_char1_loc0_2,True,2987.0,"Waylon Smithers: Let's see how he likes a little of the ""old salt lick.""",True,Waylon Smithers," Let's see how he likes a little of the ""old salt lick."""
ft1_char1_loc0_2,True,2987.0,"Homer Simpson: (SHOCKED, THEN) Mmm. Salt. (MOANS)",True,Homer Simpson," (SHOCKED, THEN) Mmm. Salt. (MOANS)"
ft1_char1_loc1_0,True,79.0,(Springfield Retirement Castle: EXT. RETIREMENT CASTLE - DAY),False,,
ft1_char1_loc1_0,True,79.0,Marge Simpson: I just don't think this is a good idea.,True,Marge Simpson, I just don't think this is a good idea.
ft1_char1_loc1_0,True,79.0,"Homer Simpson: Marge, you know sometimes I have to trick you into doing things?",True,Homer Simpson," Marge, you know sometimes I have to trick you into doing things?"
ft1_char1_loc1_0,True,79.0,Marge Simpson: Uh huh.,True,Marge Simpson, Uh huh.
ft1_char1_loc1_0,True,79.0,"Homer Simpson: Well, I'm doing it again.",True,Homer Simpson," Well, I'm doing it again."
ft1_char1_loc1_0,True,79.0,Marge Simpson: (GASP) She's here! (POINTS),True,Marge Simpson, (GASP) She's here! (POINTS)
ft1_char1_loc1_0,True,79.0,Homer Simpson: (AMID ANNOYED MURMURS) You're supposed to be sleeping in your chair.,True,Homer Simpson, (AMID ANNOYED MURMURS) You're supposed to be sleeping in your chair.
ft1_char1_loc1_0,True,79.0,"Grampa Simpson: I'm too excited. (THEN, WITH EXPECTANT LOOK) Is that her? Is that your dead mother?",True,Grampa Simpson," I'm too excited. (THEN, WITH EXPECTANT LOOK) Is that her? Is that your dead mother?"
ft1_char1_loc1_0,True,79.0,"Helen Lovejoy: Now, I don't want to start any trouble, but she looks older than her picture and she's not wearing a bra.",True,Helen Lovejoy," Now, I don't want to start any trouble, but she looks older than her picture and she's not wearing a bra."
ft1_char1_loc1_0,True,79.0,Grampa Simpson: (DISGUSTED SOUND),True,Grampa Simpson, (DISGUSTED SOUND)
ft1_char1_loc1_0,True,79.0,Helen Lovejoy: (SHRIEKS) Why I never!,True,Helen Lovejoy, (SHRIEKS) Why I never!
ft1_char1_loc1_0,True,79.0,Bart Simpson: (ENTHUSIASTIC) I did! (INDICATES HER BREASTS),True,Bart Simpson, (ENTHUSIASTIC) I did! (INDICATES HER BREASTS)
ft1_char1_loc1_1,True,3.0,(Springfield Elementary School: int. Springfield elementary - cafeteria - later),False,,
ft1_char1_loc1_1,True,3.0,"Gary Chalmers: First off, I would like to introduce our new school nurse, Ms. Cantwell.",True,Gary Chalmers," First off, I would like to introduce our new school nurse, Ms. Cantwell."
ft1_char1_loc1_1,True,3.0,"Ms. Cantwell: (HOT) Hello, children. I'm not just some sexy vision in a white uniform, like the ones in the (HOLDS UP A BOOK) Book Of Mormon. (THEN) I'm also a registered nurse. (CHUCKLES)",True,Ms. Cantwell," (HOT) Hello, children. I'm not just some sexy vision in a white uniform, like the ones in the (HOLDS UP A BOOK) Book Of Mormon. (THEN) I'm also a registered nurse. (CHUCKLES)"
ft1_char1_loc1_1,True,3.0,"Otto Mann: (LOOKING AT HIPPY) Well done, God!",True,Otto Mann," (LOOKING AT HIPPY) Well done, God!"
ft1_char1_loc1_1,True,3.0,"Lisa Simpson: (IMPRESSED) Wow, there really are two things she could be.",True,Lisa Simpson," (IMPRESSED) Wow, there really are two things she could be."
ft1_char1_loc1_1,True,3.0,"Gary Chalmers: So if you have a tummy ache, a turtle head poking out, or a neon sign that says ""Hepatitis,"" come and see Ms. Cantwell.",True,Gary Chalmers," So if you have a tummy ache, a turtle head poking out, or a neon sign that says ""Hepatitis,"" come and see Ms. Cantwell."
ft1_char1_loc1_1,True,3.0,(Springfield Elementary School: int. springfield elementary - hallway - moments later),False,,
ft1_char1_loc1_1,True,3.0,Seymour Skinner: (HOLDS OUT A HALL PASS) I am so happy to see that face.,True,Seymour Skinner, (HOLDS OUT A HALL PASS) I am so happy to see that face.
ft1_char1_loc1_1,True,3.0,Lisa Simpson: Let's just say your last school nurse did her job.,True,Lisa Simpson, Let's just say your last school nurse did her job.
ft1_char1_loc1_1,True,3.0,Seymour Skinner: I don't think that's exactly the right way to put it.,True,Seymour Skinner, I don't think that's exactly the right way to put it.
ft1_char1_loc1_1,True,3.0,"Lisa Simpson: (RE-GIFTING) Here, then. The chocolate's for you... the tooth's for her.",True,Lisa Simpson," (RE-GIFTING) Here, then. The chocolate's for you... the tooth's for her."
ft1_char1_loc1_1,True,3.0,"Seymour Skinner: Thank you, Lisa. But I think this is the sort of thing we should share with the whole school.",True,Seymour Skinner," Thank you, Lisa. But I think this is the sort of thing we should share with the whole school."
ft1_char1_loc1_1,True,3.0,"Seymour Skinner: Now, let's roll.",True,Seymour Skinner," Now, let's roll."
ft1_char1_loc1_1,True,3.0,"Agnes Skinner: (THINKING) A boy and a girl, eh? This is a case for Cupid. He was last seen at the public library, where he was reading up on sex education.",True,Agnes Skinner," (THINKING) A boy and a girl, eh? This is a case for Cupid. He was last seen at the public library, where he was reading up on sex education."
ft1_char1_loc1_1,True,3.0,Agnes Skinner: (SCANDALIZED) Two children kissing at the library? (UPSET NOISE),True,Agnes Skinner, (SCANDALIZED) Two children kissing at the library? (UPSET NOISE)
ft1_char1_loc1_2,True,4205.0,(SEX SHOP: Int. sex shop - continuous),False,,
ft1_char1_loc1_2,True,4205.0,"Helen Lovejoy: I wish she was as supportive of her husband's store as she is of those poor, starving dogs.",True,Helen Lovejoy," I wish she was as supportive of her husband's store as she is of those poor, starving dogs."
ft1_char1_loc1_2,True,4205.0,"Rev. Timothy Lovejoy: Thank you for calling ""Store"" Alone. This is Timothy Lovejoy. How can I service you?",True,Rev. Timothy Lovejoy," Thank you for calling ""Store"" Alone. This is Timothy Lovejoy. How can I service you?"
ft1_char1_loc1_2,True,4205.0,Homer Simpson: It's me. Timothy Lovejoy.,True,Homer Simpson, It's me. Timothy Lovejoy.
ft1_char1_loc1_2,True,4205.0,Jr. Rev. Timothy Lovejoy: (DISAPPOINTED) Oh.,True,Jr. Rev. Timothy Lovejoy, (DISAPPOINTED) Oh.
ft1_char1_loc1_2,True,4205.0,"Homer Simpson: I'm trying to buy something to spice up my marriage. What do you have in a ""waking in on your wife with another woman"" that's not too stagy?",True,Homer Simpson," I'm trying to buy something to spice up my marriage. What do you have in a ""waking in on your wife with another woman"" that's not too stagy?"
ft1_char1_loc1_2,True,4205.0,"Rev. Timothy Lovejoy: Homer, I am not comfortable discussing these matters. You should talk to the school psychologist.",True,Rev. Timothy Lovejoy," Homer, I am not comfortable discussing these matters. You should talk to the school psychologist."
ft1_char1_loc1_2,True,4205.0,Homer Simpson: We don't have a school psychologist!,True,Homer Simpson, We don't have a school psychologist!
ft1_char1_loc1_2,True,4205.0,"Rev. Timothy Lovejoy: (UNDER HIS BREATH) Well, you should.",True,Rev. Timothy Lovejoy," (UNDER HIS BREATH) Well, you should."
ft1_char1_loc1_2,True,4205.0,(SEX SHOP: Int. sex shop - continuous),False,,
ft1_char1_loc1_2,True,4205.0,(SEX SHOP: Int. sex shop - continuous),False,,
ft1_char1_loc1_2,True,4205.0,"Waylon Smithers: (GENTLY) Uh, Homer, it's me. Waylon Smithers.",True,Waylon Smithers," (GENTLY) Uh, Homer, it's me. Waylon Smithers."
ft1_char1_loc1_2,True,4205.0,Homer Simpson: (SURPRISED) What the--?,True,Homer Simpson, (SURPRISED) What the--?
ft1_char1_loc1_2,True,4205.0,"Waylon Smithers: (MOANS) Homer, do me a favor.",True,Waylon Smithers," (MOANS) Homer, do me a favor."
ft1_char1_loc1_2,True,4205.0,Homer Simpson: Sure.,True,Homer Simpson, Sure.
ft1_char1_loc1_2,True,4205.0,Waylon Smithers: The calla lilies are a little too tall. Cut them down about a half-inch.,True,Waylon Smithers, The calla lilies are a little too tall. Cut them down about a half-inch.
ft1_char1_loc1_2,True,4205.0,"Homer Simpson: (LAUGHING) No problem. Well, it's nice to know you're in on the secret, Smithers.",True,Homer Simpson," (LAUGHING) No problem. Well, it's nice to know you're in on the secret, Smithers."
ft1_char1_loc1_2,True,4205.0,Waylon Smithers: (MOURNFUL) I only wish I could tell the world.,True,Waylon Smithers, (MOURNFUL) I only wish I could tell the world.
ft1_char1_loc1_2,True,4205.0,"Homer Simpson: (MENACING) Oh, you will, my friend.",True,Homer Simpson," (MENACING) Oh, you will, my friend."
ft1_char1_loc1_2,True,4205.0,Waylon Smithers: (ANNOYED) Why must you always stand in the way of progress?,True,Waylon Smithers, (ANNOYED) Why must you always stand in the way of progress?
ft1_char1_loc1_2,True,4205.0,(SEX SHOP: Int. sex shop - continuous),False,,
ft1_char1_loc1_2,True,4205.0,(SEX SHOP: Int. sex shop - day),False,,
ft1_char1_loc1_2,True,4205.0,(SEX SHOP: Ext. sex shop - night),False,,
ft1_char1_loc1_2,True,4205.0,(SEX SHOP: Int. sex shop - day),False,,
ft1_char1_loc1_2,True,4205.0,Helen Lovejoy: We're here to win back our Church from that devil-worshipping store!,True,Helen Lovejoy, We're here to win back our Church from that devil-worshipping store!
ft1_char1_loc1_2,True,4205.0,Homer Simpson: I'm not worshipping the devil. I'm buying a Christmas gift for my wife. But I am not feeling the spirit of the season.,True,Homer Simpson, I'm not worshipping the devil. I'm buying a Christmas gift for my wife. But I am not feeling the spirit of the season.
ft1_char1_loc1_2,True,4205.0,"Sex Shop Salesman: Perhaps I can help. You see, true giving is the putting forth of food, time, or money with no visible hope of return. And we're closing in ten minutes, so just pick something and get the hell out.",True,Sex Shop Salesman," Perhaps I can help. You see, true giving is the putting forth of food, time, or money with no visible hope of return. And we're closing in ten minutes, so just pick something and get the hell out."
ft1_char1_loc1_2,True,4205.0,Homer Simpson: (GOBBLING) Christmas is the season for giving.,True,Homer Simpson, (GOBBLING) Christmas is the season for giving.
ft1_char1_loc1_2,True,4205.0,(SEX SHOP: Int. sex shop - day),False,,
ft1_char1_loc1_2,True,4205.0,(SEX SHOP: Ext. sex shop - night),False,,
ft1_char1_loc1_2,True,4205.0,(SEX SHOP: Ext. sex shop - night - establishing),False,,
ft1_char1_loc1_2,True,4205.0,(SEX SHOP: Int. sex shop - continuous),False,,
ft1_char1_loc1_2,True,4205.0,"Homer Simpson: Ooh, bondage-me.",True,Homer Simpson," Ooh, bondage-me."
ft1_char1_loc1_3,True,4209.0,(SPRINGFIELD SWAMP: Ext. springfield swamp - continuous),False,,
ft1_char1_loc1_3,True,4209.0,Milhouse Van Houten: What do you think it is?,True,Milhouse Van Houten, What do you think it is?
ft1_char1_loc1_3,True,4209.0,"Bart Simpson: (PROUD) Probably a new species, named in my honor.",True,Bart Simpson," (PROUD) Probably a new species, named in my honor."
ft1_char1_loc1_3,True,4209.0,Nelson Muntz: I claim this island!,True,Nelson Muntz, I claim this island!
ft1_char1_loc1_3,True,4209.0,Nelson Muntz: Oww!,True,Nelson Muntz, Oww!
ft1_char1_loc1_3,True,4209.0,"Nelson Muntz: Oh, you do?! Now you're gonna be one of them monster-people on the island?",True,Nelson Muntz," Oh, you do?! Now you're gonna be one of them monster-people on the island?"
ft1_char1_loc1_3,True,4209.0,Nelson Muntz: Just sit me on that island and I'll become your king. (BART LAUGH),True,Nelson Muntz, Just sit me on that island and I'll become your king. (BART LAUGH)
ft1_char1_loc1_4,True,5.0,(Simpson Home: INT. simpson house - FAMILY ROOM),False,,
ft1_char1_loc1_4,True,5.0,Marge Simpson: We don't want you to get hurt when they miss the net and the puck flies into the stands.,True,Marge Simpson, We don't want you to get hurt when they miss the net and the puck flies into the stands.
ft1_char1_loc1_4,True,5.0,Marge Simpson: We'll be okay. We've got our foam paws.,True,Marge Simpson, We'll be okay. We've got our foam paws.
ft1_char1_loc1_4,True,5.0,Bart Simpson: (SAD) Are these foam paws?,True,Bart Simpson, (SAD) Are these foam paws?
ft1_char1_loc1_4,True,5.0,"Homer Simpson: Bart, they're yours!",True,Homer Simpson," Bart, they're yours!"
ft1_char1_loc1_4,True,5.0,"Bart Simpson: Hey, you said you were throwing these away.",True,Bart Simpson," Hey, you said you were throwing these away."
ft1_char1_loc1_4,True,5.0,Homer Simpson: (ANNOYED GRUNT),True,Homer Simpson, (ANNOYED GRUNT)
ft1_char1_loc1_4,True,5.0,Marge Simpson: (SOTTO) But Selma and I are best friends!,True,Marge Simpson, (SOTTO) But Selma and I are best friends!
ft1_char1_loc1_4,True,5.0,"Homer Simpson: (LAUGHS) Of course you are, dear.",True,Homer Simpson," (LAUGHS) Of course you are, dear."
ft1_char1_loc1_4,True,5.0,Milhouse Van Houten: (MOANS) I just can't decide which ring I want.,True,Milhouse Van Houten, (MOANS) I just can't decide which ring I want.
ft1_char1_loc1_4,True,5.0,"Homer Simpson: Let me help you, son! I have a keen eye for fashion.",True,Homer Simpson," Let me help you, son! I have a keen eye for fashion."
ft1_char1_loc1_4,True,5.0,"Homer Simpson: (WEARY) So, how was your day?",True,Homer Simpson," (WEARY) So, how was your day?"
ft1_char1_loc1_4,True,5.0,"Bart Simpson: Not now, man. I'm about to make major news in the world of professional sports. I need to get in my zone.",True,Bart Simpson," Not now, man. I'm about to make major news in the world of professional sports. I need to get in my zone."
ft1_char1_loc1_4,True,5.0,"Ned Flanders: Homer, could you pass the salt?",True,Ned Flanders," Homer, could you pass the salt?"
ft1_char1_loc1_4,True,5.0,"Homer Simpson: ""Homer?"" We're not at work anymore. When you're in my house, you call me ""Simpson.""",True,Homer Simpson," ""Homer?"" We're not at work anymore. When you're in my house, you call me ""Simpson."""
ft1_char1_loc1_4,True,5.0,"Selma Bouvier: Oh, I think we're getting a little too big for our britches.",True,Selma Bouvier," Oh, I think we're getting a little too big for our britches."
ft1_char1_loc1_4,True,5.0,Selma Bouvier: (QUICKLY TERRIFYING) I haven't even begun to get swollen with pride.,True,Selma Bouvier, (QUICKLY TERRIFYING) I haven't even begun to get swollen with pride.
ft1_char1_loc1_4,True,5.0,Homer Simpson: Ooh. Who's making fun of the new power couple?,True,Homer Simpson, Ooh. Who's making fun of the new power couple?
ft1_char1_loc1_4,True,5.0,Homer Simpson: It's nincompoop! (CHUCKLES) Idiot! (CHUCKLES) Oaf! (CHUCKLES),True,Homer Simpson, It's nincompoop! (CHUCKLES) Idiot! (CHUCKLES) Oaf! (CHUCKLES)
ft1_char1_loc1_4,True,5.0,(Simpson Home: INT. SIMPSON HOUSE - KITCHEN - NIGHT),False,,
ft1_char1_loc1_4,True,5.0,Milhouse Van Houten: We are pleased to announce that Milhouse Van Houten has signed a contract with the Springfield Isotopes!,True,Milhouse Van Houten, We are pleased to announce that Milhouse Van Houten has signed a contract with the Springfield Isotopes!
ft1_char1_loc1_4,True,5.0,"Milhouse Van Houten: Eat my dust, defective Jaromirs!",True,Milhouse Van Houten," Eat my dust, defective Jaromirs!"
ft0_char0_loc0_0,False,25.0,"(Interior: Simpson living room. Marge is sitting on the couch flipping through a magazine, Homer is on the floor playing with Maggie, and Bart and Lisa are at the dining table doing homework.)",False,,
ft0_char0_loc0_0,False,25.0,Marge Simpson: (sighs) It's so peaceful when everyone is doing their own thing.,True,Marge Simpson, (sighs) It's so peaceful when everyone is doing their own thing.
ft0_char0_loc0_0,False,25.0,Homer Simpson: (playing with Maggie) Whee! Look at her go!,True,Homer Simpson, (playing with Maggie) Whee! Look at her go!
ft0_char0_loc0_0,False,25.0,"Bart Simpson: (frustrated, slamming his pencil down) This math homework is impossible!",True,Bart Simpson," (frustrated, slamming his pencil down) This math homework is impossible!"
ft0_char0_loc0_0,False,25.0,"Lisa Simpson: (calmly) Bart, you just need to focus and apply yourself. It's not that hard.",True,Lisa Simpson," (calmly) Bart, you just need to focus and apply yourself. It's not that hard."
ft0_char0_loc0_0,False,25.0,"Bart Simpson: (sarcastically) Oh, sure, easy for the little genius to say.",True,Bart Simpson," (sarcastically) Oh, sure, easy for the little genius to say."
ft0_char0_loc0_0,False,25.0,"(Just then, the doorbell rings. Homer gets up to answer it.)",False,,
ft0_char0_loc0_0,False,25.0,"Homer Simpson: (excitedly) Ooh, a package! I wonder what it could be.",True,Homer Simpson," (excitedly) Ooh, a package! I wonder what it could be."
ft0_char0_loc0_0,False,25.0,(Homer opens the door to find a large box labeled (Mystery Box - Open at Your Own Risk)),False,,
ft0_char0_loc0_0,False,25.0,"Homer Simpson: (excitedly) Ooh, a mystery box! I can't wait to see what's inside.",True,Homer Simpson," (excitedly) Ooh, a mystery box! I can't wait to see what's inside."
ft0_char0_loc0_0,False,25.0,"Marge Simpson: (worried) Homer, are you sure it's safe to open that?",True,Marge Simpson," (worried) Homer, are you sure it's safe to open that?"
ft0_char0_loc0_0,False,25.0,"Homer Simpson: (dismissively) Of course, Marge. What could possibly go wrong?",True,Homer Simpson," (dismissively) Of course, Marge. What could possibly go wrong?"
ft0_char0_loc0_0,False,25.0,(Homer opens the box to reveal a bunch of colorful balloons that start floating out of the box and filling up the living room.),False,,
ft0_char0_loc0_0,False,25.0,"Marge Simpson: (frantically) Homer, close the box! The balloons are getting out of control!",True,Marge Simpson," (frantically) Homer, close the box! The balloons are getting out of control!"
ft0_char0_loc0_0,False,25.0,"(Homer tries to close the box, but more balloons keep coming out, filling up the room and lifting the family off the ground.)",False,,
ft0_char0_loc0_0,False,25.0,Bart Simpson: (excitedly) This is awesome!,True,Bart Simpson, (excitedly) This is awesome!
ft0_char0_loc0_0,False,25.0,Lisa Simpson: (worried) I don't think this is supposed to be happening.,True,Lisa Simpson, (worried) I don't think this is supposed to be happening.
ft0_char0_loc0_0,False,25.0,"(Marge grabs onto Maggie, who is floating in the air, while Homer tries to wrangle the balloons back into the box.)",False,,
ft0_char0_loc0_0,False,25.0,"Homer Simpson: (struggling) I've got it, I've got it!",True,Homer Simpson," (struggling) I've got it, I've got it!"
ft0_char0_loc0_0,False,25.0,"(Just then, the box starts shaking and glowing, and a bright light shoots out, enveloping the entire family.)",False,,
ft0_char0_loc0_0,False,25.0,"Marge Simpson: (screaming) Homer, what have you done?!",True,Marge Simpson," (screaming) Homer, what have you done?!"
ft0_char0_loc0_0,False,25.0,"(The light fades, and the family finds themselves floating in outer space, surrounded by stars and planets.)",False,,
ft0_char0_loc0_0,False,25.0,"Homer Simpson: (amazed) Wow, we're in space! This is even better than I imagined.",True,Homer Simpson," (amazed) Wow, we're in space! This is even better than I imagined."
ft0_char0_loc0_0,False,25.0,Bart Simpson: (excitedly) I can see our house from here!,True,Bart Simpson, (excitedly) I can see our house from here!
ft0_char0_loc0_0,False,25.0,Lisa Simpson: (in awe) This is incredible. But how are we going to get back home?,True,Lisa Simpson, (in awe) This is incredible. But how are we going to get back home?
ft0_char0_loc0_0,False,25.0,"(The family looks around, unsure of what to do next, as the camera pans out to show them floating in the vastness of space.)",False,,
ft0_char0_loc0_1,False,25.0,"(Scene: The Simpson living room. Homer is sitting on the couch, lazily flipping through channels on the TV. Marge is in the kitchen preparing dinner, and Bart and Lisa are playing a board game on the floor.)",False,,
ft0_char0_loc0_1,False,25.0,"Bart Simpson: (excitedly) Lisa, your turn!",True,Bart Simpson," (excitedly) Lisa, your turn!"
ft0_char0_loc0_1,False,25.0,"Lisa Simpson: (thinking) Hmm, I think I'll buy Boardwalk.",True,Lisa Simpson," (thinking) Hmm, I think I'll buy Boardwalk."
ft0_char0_loc0_1,False,25.0,"Bart Simpson: (groans) Aw, man! That's gonna bankrupt me!",True,Bart Simpson," (groans) Aw, man! That's gonna bankrupt me!"
ft0_char0_loc0_1,False,25.0,"Lisa Simpson: (smirking) That's the name of the game, Bart.",True,Lisa Simpson," (smirking) That's the name of the game, Bart."
ft0_char0_loc0_1,False,25.0,"(A loud knocking is heard at the front door. Homer gets up from the couch and opens the door to reveal Ned Flanders standing there, looking anxious.)",False,,
ft0_char0_loc0_1,False,25.0,"Ned Flanders: Hi-diddly-ho, neighbor-eenos! I hate to bother you, but I seem to have locked myself out of my house again. Could I possibly borrow your phone to call a locksmith?",True,Ned Flanders," Hi-diddly-ho, neighbor-eenos! I hate to bother you, but I seem to have locked myself out of my house again. Could I possibly borrow your phone to call a locksmith?"
ft0_char0_loc0_1,False,25.0,"Homer Simpson: (sarcastically) Oh, sure, Ned. Just make yourself at home. Again.",True,Homer Simpson," (sarcastically) Oh, sure, Ned. Just make yourself at home. Again."
ft0_char0_loc0_1,False,25.0,"(Homer hands Ned the phone, and Ned dials a number. Meanwhile, Marge walks in from the kitchen carrying a plate of cookies.)",False,,
ft0_char0_loc0_1,False,25.0,"Marge Simpson: Ned, would you like some cookies while you wait?",True,Marge Simpson," Ned, would you like some cookies while you wait?"
ft0_char0_loc0_1,False,25.0,"Ned Flanders: Oh, thank you, Marge. You really are a saint.",True,Ned Flanders," Oh, thank you, Marge. You really are a saint."
ft0_char0_loc0_1,False,25.0,"(Homer rolls his eyes and mutters to himself as he plops back down on the couch. Suddenly, the doorbell rings again, and this time it's Chief Wiggum and his son Ralph standing outside.)",False,,
ft0_char0_loc0_1,False,25.0,"Chief Wiggum: (panting) Simpson, we need your help! There's a cat stuck in a tree, and we can't get it down.",True,Chief Wiggum," (panting) Simpson, we need your help! There's a cat stuck in a tree, and we can't get it down."
ft0_char0_loc0_1,False,25.0,"Ralph Wiggum: (excitedly) Meow-meow, Mommy!",True,Ralph Wiggum," (excitedly) Meow-meow, Mommy!"
ft0_char0_loc0_1,False,25.0,Homer Simpson: (confused) Why are you telling me this? I'm not a firefighter.,True,Homer Simpson, (confused) Why are you telling me this? I'm not a firefighter.
ft0_char0_loc0_1,False,25.0,"Chief Wiggum: Well, we heard you have a ladder and, uh, we figured...",True,Chief Wiggum," Well, we heard you have a ladder and, uh, we figured..."
ft0_char0_loc0_1,False,25.0,"(Homer reluctantly gets up and grabs a ladder from the garage. Cut to a montage of Homer, Chief Wiggum, and Ralph hilariously trying to rescue the cat from the tree, with each attempt ending in a comical failure.)",False,,
ft0_char0_loc0_1,False,25.0,"Marge Simpson: (sighing) Oh, Homer. You never cease to amaze me.",True,Marge Simpson," (sighing) Oh, Homer. You never cease to amaze me."
ft0_char0_loc0_1,False,25.0,"(The scene fades out as the cat finally gets rescued, and the Simpson family and their neighbors share a laugh together in the backyard.)",False,,
ft0_char0_loc0_2,False,25.0,"(Scene: The Simpson family living room. Homer is lounging on the couch watching TV, Marge is knitting, Lisa is practicing her saxophone, and Bart Simpson is up to no good.)",False,,
ft0_char0_loc0_2,False,25.0,"Bart Simpson: (mischievously) Hey, Dad! Want to see a magic trick?",True,Bart Simpson," (mischievously) Hey, Dad! Want to see a magic trick?"
ft0_char0_loc0_2,False,25.0,"Homer Simpson: (excitedly) Ooh, a magic trick! I love magic. What do you have in store for me, boy?",True,Homer Simpson," (excitedly) Ooh, a magic trick! I love magic. What do you have in store for me, boy?"
